field,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,sub_major_field,major_field
Agricultural economics,111.0,116.0,118.0,106.0,88.0,107.0,96.0,101.0,113.0,144.0,Agricultural sciences and natural resources,Life sciences
Agricultural and horticultural plant breeding,28.0,24.0,31.0,23.0,31.0,21.0,39.0,43.0,61.0,54.0,Agricultural sciences and natural resources,Life sciences
Agricultural animal breeding,3.0,12.0,7.0,7.0,6.0,8.0,na,na,na,na,Agricultural sciences and natural resources,Life sciences
Agronomy and crop science,68.0,77.0,69.0,54.0,73.0,86.0,80.0,81.0,82.0,102.0,Agricultural sciences and natural resources,Life sciences
Animal nutrition,41.0,34.0,34.0,48.0,57.0,54.0,50.0,40.0,42.0,27.0,Agricultural sciences and natural resources,Life sciences
"Animal science, poultry or avian",18.0,17.0,12.0,25.0,22.0,23.0,25.0,31.0,21.0,24.0,Agricultural sciences and natural resources,Life sciences
"Animal sciences, other",77.0,74.0,54.0,69.0,75.0,85.0,103.0,90.0,83.0,105.0,Agricultural sciences and natural resources,Life sciences
Environmental science,182.0,201.0,155.0,195.0,182.0,204.0,213.0,182.0,193.0,222.0,Agricultural sciences and natural resources,Life sciences
Fishing and fisheries sciences and management,52.0,67.0,34.0,59.0,51.0,53.0,52.0,60.0,47.0,69.0,Agricultural sciences and natural resources,Life sciences
Food science,96.0,110.0,100.0,73.0,108.0,105.0,93.0,125.0,123.0,125.0,Agricultural sciences and natural resources,Life sciences
"Food science and technology, other",41.0,30.0,37.0,39.0,35.0,48.0,39.0,47.0,40.0,52.0,Agricultural sciences and natural resources,Life sciences
Forest sciences and biology,32.0,43.0,23.0,26.0,25.0,19.0,22.0,37.0,15.0,89.0,Agricultural sciences and natural resources,Life sciences
"Forest management, forest resources management",44.0,52.0,41.0,34.0,29.0,44.0,28.0,36.0,35.0,26.0,Agricultural sciences and natural resources,Life sciences
"Forestry, other",17.0,26.0,17.0,35.0,29.0,26.0,20.0,22.0,29.0,38.0,Agricultural sciences and natural resources,Life sciences
Horticulture science,50.0,55.0,42.0,48.0,40.0,41.0,51.0,50.0,32.0,42.0,Agricultural sciences and natural resources,Life sciences
Natural resource and environmental policy,na,na,na,na,na,na,35.0,56.0,68.0,54.0,Agricultural sciences and natural resources,Life sciences
Natural resources and conservation,78.0,84.0,88.0,100.0,99.0,92.0,70.0,87.0,72.0,63.0,Agricultural sciences and natural resources,Life sciences
Natural resources and environmental economics (agricultural sciences),na,na,na,na,31.0,22.0,28.0,39.0,23.0,26.0,Agricultural sciences and natural resources,Life sciences
"Plant pathology and phytopathology, agricultural",59.0,61.0,56.0,53.0,71.0,74.0,74.0,57.0,73.0,108.0,Agricultural sciences and natural resources,Life sciences
"Plant sciences, other",39.0,60.0,49.0,51.0,77.0,67.0,78.0,95.0,52.0,62.0,Agricultural sciences and natural resources,Life sciences
"Soil chemistry, microbiology",25.0,18.0,20.0,34.0,15.0,16.0,20.0,17.0,23.0,43.0,Agricultural sciences and natural resources,Life sciences
"Soil sciences, other",67.0,49.0,39.0,39.0,37.0,51.0,45.0,54.0,38.0,52.0,Agricultural sciences and natural resources,Life sciences
"Wildlife, range management",55.0,34.0,48.0,50.0,39.0,41.0,29.0,32.0,14.0,19.0,Agricultural sciences and natural resources,Life sciences
"Wood science, pulp and paper technology",2.0,17.0,8.0,15.0,16.0,8.0,4.0,15.0,8.0,12.0,Agricultural sciences and natural resources,Life sciences
"Agricultural sciences and natural resources, generala",8.0,8.0,2.0,9.0,8.0,9.0,25.0,21.0,73.0,34.0,Agricultural sciences and natural resources,Life sciences
"Agricultural sciences and natural resources, otherb",5.0,14.0,16.0,14.0,11.0,20.0,19.0,16.0,21.0,14.0,Agricultural sciences and natural resources,Life sciences
Anatomy,25.0,15.0,25.0,25.0,23.0,15.0,15.0,24.0,21.0,9.0,Biological and biomedical sciences,Life sciences
Bacteriology,22.0,20.0,24.0,22.0,23.0,28.0,25.0,22.0,18.0,13.0,Biological and biomedical sciences,Life sciences
Biochemistry (biological sciences),899.0,858.0,861.0,867.0,847.0,827.0,820.0,749.0,832.0,815.0,Biological and biomedical sciences,Life sciences
Bioinformatics,147.0,175.0,123.0,140.0,145.0,166.0,183.0,174.0,194.0,183.0,Biological and biomedical sciences,Life sciences
Biomedical sciences,268.0,300.0,287.0,311.0,366.0,401.0,438.0,417.0,330.0,341.0,Biological and biomedical sciences,Life sciences
Biometrics and biostatistics,122.0,115.0,127.0,137.0,174.0,145.0,165.0,171.0,198.0,216.0,Biological and biomedical sciences,Life sciences
Biophysics (biological sciences),167.0,195.0,171.0,192.0,193.0,179.0,186.0,181.0,165.0,208.0,Biological and biomedical sciences,Life sciences
Biotechnology,32.0,26.0,22.0,33.0,54.0,39.0,45.0,38.0,36.0,33.0,Biological and biomedical sciences,Life sciences
Botany and plant biology,105.0,113.0,110.0,110.0,110.0,91.0,93.0,97.0,112.0,100.0,Biological and biomedical sciences,Life sciences
Cancer biology,289.0,273.0,300.0,396.0,381.0,379.0,455.0,454.0,437.0,364.0,Biological and biomedical sciences,Life sciences
